店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,離捷運站近,靠近哪個捷運站,有無限時,插座多,可站立工作,推薦人,備註,地址,網站
拾米屋,沒有WIFI,4.0 ★,5.0 ★,4.0 ★,3.0 ★,5.0 ★,Yes,北投,Yes,Yes,Yes,Vervaak,蛋糕、啤酒很棒,112台北市北投區大同街153號1號倉庫,https://www.facebook.com/ShemeHouse/
奧蘿茉 OROMO CAFE 敦南店,請去過的人評分,,4.0 ★,,,,,大安,,,,,,100台北市中正區南陽街26號,https://www.facebook.com/oromocafe2/
自然醒咖啡公寓,4.0 ★,4.0 ★,4.0 ★,4.0 ★,,4.0 ★,,大安,,,No,,,10603台北市大安區和平東路二段157號,https://www.facebook.com/WakinUpCafeApartment/
Angle cafe',請去過的人評分,,,,,,,大安,,,,,,106台北市大安區瑞安街206號,https://www.facebook.com/AngleCafe/
Miuya Cafe 米屋珈琲,請去過的人評分,,,,,,,大安,,,,,,110台北市大安區文昌街49號,https://www.facebook.com/miuyacafe/
躲貓貓咖啡,4.0 ★,5.0 ★,3.5 ★,4.0 ★,4.0 ★,3.5 ★,4.5 ★,大坪林,,Yes,No,,空間寬闊，但常常有媽媽帶小孩，不小心遇到就會很吵,231新北市新店區新北市新店區民權路42巷21-1號,https://www.facebook.com/dmmcoffee
Peace & Love Cafe,4.0 ★,3.5 ★,3.0 ★,5.0 ★,2.0 ★,4.0 ★,4.5 ★,大坪林,,No,Yes,,,231新北市新店區民權路42巷18號,https://www.facebook.com/palcafesmile
"兜味, doorway cafe",請去過的人評分,,,,,,,大橋頭,,,,,,10347台北市大同區安西街36號,https://www.facebook.com/2013doorwaycafe/
貳月咖啡,請去過的人評分,,2.5 ★,,,,,東門,,,,,,106台北市大安區青田街13-1號,https://www.facebook.com/february.tw/
青田七六,,3.0 ★,2.5 ★,3.0 ★,2.0 ★,3.0 ★,3.0 ★,東門,假日有,No,No,Summer,不是一個適合讀書的地方，觀光客居多,106台北市大安區青田街7巷6號,https://www.facebook.com/geo76.tw/
溫床 NEST,請去過的人評分,3.0 ★,,4.0 ★,4.0 ★,4.0 ★,Yes,東門,,No,Yes,aphasia,空間迷你，座位極少。工作起來算是舒服，上面有蛋的三明治也蠻好吃的。,106台北市大安區信義路二段198巷38號,https://www.facebook.com/nest.taipei/
小米酒咖啡館,4.0 ★,3.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,東門,,Yes,No,aphasia,老闆會管制音量，店裡即使滿座也通常不會太吵。,106台北市大安區永康街41巷5號,https://www.facebook.com/cafexiaomijo/
小食糖 sugar bistro,3.0 ★,4.0 ★,3.0 ★,3.5 ★,4.0 ★,4.0 ★,5.0 ★,東門,No,,Yes,,,100台北市中正區信義路二段181巷3號,https://www.facebook.com/sugar.bistro
鴉埠咖啡 Yaboo,4.0 ★,3.5 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,東門,,Yes,No,aphasia,外面是吸菸區，有時煙味會飄進來。有兩隻萌貓大加分,106台北市大安區永康街41巷26號,https://www.facebook.com/yaboo.lalala/
羊毛與花,4.0 ★,3.0 ★,3.0 ★,4.0 ★,3.0 ★,4.0 ★,3.0 ★,東門,,Yes,No,Cos,假日人多比較吵鬧,"No. 12 Lane 37 Yongkang St, Da’an District, Taipei City, 106",https://www.facebook.com/youmoutoohanacoffee/?fref=ts
forgood 好多咖啡,4.0 ★,3.0 ★,3.0 ★,4.0 ★,3.0 ★,4.0 ★,4.0 ★,東門,,,No,匿名浣熊,,106台北市大安區永康街41巷12號,https://www.facebook.com/forgoodcafe/
Moooon River Cafe & Books,請去過的人評分,,,,,,,港墘,,,,,,114台北市內湖區瑞光路218號,https://www.facebook.com/moooonriver/
5 Senses Café,3.0 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,No,公館,,Yes,No,Summer,一、二樓感覺差蠻多的，假日會稍微比較吵鬧,106台北市大安區基隆路三段85號,https://www.facebook.com/5senses.cafe/
靈感咖啡,4.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,yes,公館,,Yes,No,Cos,空間安靜，很多學生會在這裡K書，營業時間只到晚上七點，另外很常會有包場的狀況，去的時候要記得去粉絲團看一下包場訊息,106台北市大安區新生南路三段84-6號,https://www.facebook.com/mydesycoffee/
路上撿到一隻貓,3.5 ★,4.0 ★,,4.0 ★,4.0 ★,5.0 ★,Yes,公館,,Yes,Yes,aphasia,,106台北市大安區溫州街49巷2號,https://www.facebook.com/pages/%E8%B7%AF%E4%B8%8A%E6%92%BF%E5%88%B0%E4%B8%80%E9%9A%BB%E8%B2%93/564756903691983?fref=ts
Imperfect coffee,3.5 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,3.5 ★,5.0 ★,公館,No,Yes,No,,,106台北市大安區新生南路三段96-5號,https://www.facebook.com/imperfectcafe/
The Common,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.5 ★,公館,,Yes,No,Ethen,空氣悶，入口在巷內，餐點不貴，計時制上限240$，很放鬆的地方,"號 3 樓, No. 138, Section 4, Roosevelt Rd, Zhongzheng District, Taipei City, 100",https://www.facebook.com/thecommontw
混hun,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,3.0 ★,古亭,,,No,阿川,客人全都在工作，店內非常安靜,106台北市大安區和平東路一段104巷6號,https://www.facebook.com/huncoworkingspace/
生活在他方 elsewhere cafe,請去過的人評分,,,,,,,古亭,,,,,,100台北市中正區羅斯福路一段119巷3號,https://www.facebook.com/elsewherecafe/
NUKI Coffee,請去過的人評分,,,,,,,古亭,,,,,,100台北市中正區金門街5-1號,https://www.facebook.com/nukicafegallery/
Sugar Man Cafe,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,古亭,,,,Summer,上洗手間會需要經過吸菸區,106台北市大安區和平東路一段87-1號,https://www.facebook.com/cafesugarman
Caffè Le MANI 琢手咖啡,請去過的人評分,,5.0 ★,,,,,葫洲,,,,,,114台北市內湖區民權東路六段234-5號,https://www.facebook.com/caffelemani/
Atts Coffee,,3.5 ★,3.0 ★,4.0 ★,3.5 ★,,4.0 ★,江子翠,,No,No,Summer,有二店,,
Cafe' de ZO,,,,,,,,江子翠,,,,,,220新北市板橋區懷德街166號,https://www.facebook.com/cafedezo/
Percent CAFE %,,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.5 ★,江子翠,No,,,Summer,假日人多,,
YoLo Cafe 有樂咖啡,,3.5 ★,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.5 ★,江子翠,No,看座位,No,Summer,餐點也好吃，喜歡環境，適合工作一天,220 新北市板橋區文化路二段182巷3弄14號,https://www.facebook.com/yolocafe2014/?fref=ts
豆BAR,4.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,景安,No,Yes,Yes,阿川,,235新北市中和區南華路27號,https://www.facebook.com/beanbarcoffee/
Workis工作是,5.0 ★,4.0 ★,,5.0 ★,4.0 ★,4.5 ★,5.0 ★,科技大樓,,Yes,No,,有貓有咖啡但更接近工作室的空間,106台北市大安區復興南路二段337巷6弄2號,https://www.facebook.com/workisstudio1
水牛書店,2.5 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.5 ★,3.0 ★,科技大樓/大安森林公園,,有延長線,No,Ethen,適合工作，有一二樓可選，空氣佳，就是網路悲劇。,106台北市大安區瑞安街222巷2號,https://www.facebook.com/ShuiNiuWenHuaShiYe/
917 好事咖啡創意廚房,請去過的人評分,,,,,,,六張犁,,,,,,106台北市大安區安居街8巷19號,https://www.facebook.com/HowsCoffee/
苔毛,4.0 ★,4.0 ★,5.0 ★,4.0 ★,4.0 ★,4.5 ★,4.5 ★,六張犁,,Yes,,aphasia,空間寬敞明亮，桌面高度適合工作。不過沒在假日去過不確定安靜程度 & 好不好卡位。,106台北市大安區嘉興街345號,https://www.facebook.com/taimocafe/
cafe wien,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,民權西路,,Yes,No,阿川,店內音響非常好，會放很好聽的jazz,104台北市中山區撫順街41巷3號,https://www.facebook.com/cafewienTPE/
公園咖啡 Le Park,4.5 ★,4.0 ★,,4.0 ★,4.0 ★,4.0 ★,5.0 ★,南京復興,,Yes,No,aphasia,,104台北市中山區遼寧街146號,
樂樂咖啡,,,,,,,,南京三民,,,,,,105台北市松山區延壽街129號,https://www.facebook.com/cafelakulaku/
六號水門咖啡,請去過的人評分,,5.0 ★,,,,,南京三民,,,No,,老闆常常沒按時間開門，去過2次閉門羹,105台北市松山區塔悠路332號,https://www.facebook.com/gate6.tw
左先生咖啡Dousun Cafe',4.0 ★,3.5 ★,,4.0 ★,3.5 ★,5.0 ★,No,南京三民,,,No,Summer,假日人偏多，平日可能還好,105台北市松山區延壽街139號,https://www.facebook.com/mrzuodousuncafe/?fref=ts
慕哲咖啡,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,,4.0 ★,善導寺,,,No,Summer,,100台北市中正區紹興北街3號,
TAV Cafe 藝術村餐坊,4.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,善導寺,No,,Yes,,,100台北市中正區北平東路7號,https://www.facebook.com/TAV-Cafe-%E8%97%9D%E8%A1%93%E6%9D%91%E9%A4%90%E5%9D%8A-322439244446154/
Orange看電車咖啡館,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,士林,No,Yes,No,,,111台北市士林區文林路302號,https://www.facebook.com/Orange%E7%9C%8B%E9%9B%BB%E8%BB%8A%E5%92%96%E5%95%A1%E9%A4%A8-177610632275101/
味旅 vojago,請去過的人評分,,,,,,,市政府,,,,,,110台北市信義區永吉路30巷158弄9號,https://www.facebook.com/vojago.coffee/
儲房咖啡館,請去過的人評分,,,,,,,松江南京,,,,,,104台北市中山區建國北路一段67巷29號,https://www.facebook.com/ministoragecafe/
里山咖啡,4.0 ★,3.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,Yes,松江南京,,Yes,Yes,Cos,假日早點去比較有位子，食物好吃，偶爾二樓會辦活動，要去的時候記得到粉絲團看有沒有被包場,104台北市中山區伊通街66巷17號104 台灣 中山 區號,https://www.facebook.com/STYMCafe/?fref=ts
沐鴉咖啡,4.0 ★,3.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,松江南京,,,No,阿川,,104台北市中山區伊通街19巷8號,https://www.facebook.com/mooyacafe/
Notch咖啡 站前店,2.0 ★,3.0 ★,4.5 ★,4.0 ★,5.0 ★,3.0 ★,,台北車站,,Yes,No,,wifi 不可思議的悲劇，我最多只能給 1 顆星，上次雨天只收得到極弱的 4G,10047台北市中正區信陽街6號,https://www.facebook.com/NOTCHfrontstation
巴黎米咖啡 Cafe 8mm,4.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,台電大樓,,Yes,No,aphasia,,106台北市大安區新生南路三段60巷1號,https://www.facebook.com/Cafe8mm/
城市草倉 C-tea loft,請去過的人評分,,,,,,,台電大樓,,,,,,106台北市大安區羅斯福路三段283巷19弄4號,https://www.facebook.com/ctealoft/
挑豆院,4.0 ★,4.0 ★,,4.0 ★,4.0 ★,4.0 ★,4.0 ★,台電大樓,,,No,Summer,,106台北市大安區羅斯福路三段269巷2-1號,https://www.facebook.com/%E6%8C%91%E8%B1%86%E9%99%A2-1645727852330619/?fref=ts
餘波未了,請去過的人評分,,3.5 ★,,,,,台電大樓,,,,,,100台北市中正區羅斯福路三段128巷9號,https://www.facebook.com/CCCC.coffee/
Aura微光咖啡,4.0 ★,3.5 ★,,4.0 ★,3.5 ★,5.0 ★,4.0 ★,台電大樓,,Yes,No,Summer,,106台北市大安區羅斯福路三段269巷9號,https://www.facebook.com/CoffeeAura/?fref=ts
BS and Drink,請去過的人評分,,,,,,,文德,,,,,,114台北市內湖區瑞光路11號,https://www.facebook.com/bsanddrink/
小破爛 Café Junkies,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,小巨蛋,,Yes,No,aphasia,平日從早上7:30開到晚上8:00。常有上班族在那裡貌似開會或談事情，不算安靜。,105台北市松山區健康路9號,https://www.facebook.com/CafeJunkies/
猜咖啡,4.0 ★,3.0 ★,,?,3.0 ★,3.0 ★,5.0 ★,新埔,,Yes,No,BenBee,本人吃不出東西好壞,220新北市板橋區民生路二段234巷11號,https://www.facebook.com/guesswhatcafe/
創夢咖啡,5.0 ★,5.0 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,新店,,Yes,Yes,,每桌都有插座，網速驚人，落地窗前有新店溪風景,231新北市新店區新店路260號,https://www.facebook.com/DITCAFE
貓的美味之夢,4.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,永安市場,No,,No,,,235新北市中和區中安街178巷2號,https://www.facebook.com/NekonoBistro/
Caf'e Est 易斯特咖啡,4.0 ★,4.0 ★,4.0 ★,5.0 ★,4.0 ★,3.5 ★,2.0 ★,永安市場,,Yes,No,,,23153新北市永和區得和路106-1號,https://www.facebook.com/Cafe.est/
HUG Caf'e,4.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,永安市場,No,Yes,No,,,235新北市中和區永貞路282巷2號,https://www.facebook.com/hugcafe/
吉印,請去過的人評分,,5.0 ★,,,,,永春,,,,,,110台北市信義區忠孝東路五段492巷14號,https://www.facebook.com/jiyinn/
深cafe深咖啡,請去過的人評分,,,,,,,永春,,,,,,110台北市信義區虎林街143號1樓,https://www.facebook.com/deepcafedeepcafe/
Stone Espressobar,4.0 ★,4.0 ★,,4.0 ★,4.0 ★,4.0 ★,3.0 ★,永春,,Yes,No,,是間小店，二樓有隔間設計，每個隔間有一個插座,110台北市信義區松山路304號,https://www.facebook.com/stoneespressobar/
啡創工廠 Future Factory,請去過的人評分,,4.0 ★,,,,,圓山,,,,,,103台北市大同區民族西路31巷18號,https://www.facebook.com/future.factory.coffee
伯朗咖啡館中山二店 ,4.0 ★,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,中山,,,No,,桌子有點小,104台北市中山區中山北路一段106之1號,https://www.mrbrown.com.tw/stores/InquiryDetail.aspx?AID=1&ID=4
共楽,請去過的人評分,,,,,,,中山,,,,,,103台北市大同區台北市大同區赤峰街22號1樓,https://www.facebook.com/gunglok/
光一敘集,請去過的人評分,,,,,,,中山,,,,,,104台北市中山區中山北路二段20巷2-2號,https://www.facebook.com/lightoneplus/
慢動作咖啡館,請去過的人評分,,3.5 ★,,,,,中山,,,,,,104台北市中山區中山北路一段33巷20弄6號,https://www.facebook.com/DoucementCoffee/
響板,請去過的人評分,,3.5 ★,,,,,中山,,,,,,104台北市中山區中山北路二段26巷23號,https://www.facebook.com/%E9%9F%BF%E6%9D%BF-Woodensounds-Garnet-Cru-568338536528830/
坐坐咖啡,請去過的人評分,,,,,,,中山,,,,,,104台北市中山區長安西路19巷8號,https://www.facebook.com/zuozuocafe/
ILHA FORMOSA CAFÉ,請去過的人評分,,,,,,,中山,,,,,,103台北市大同區赤峰街41巷8號,https://www.facebook.com/IlhaFormosaCafe/
Libo cafe,請去過的人評分,,,,,,,中山,,,,,,104台北市中山區中山北路二段42巷12號,https://www.facebook.com/wilbeck6akun/
Modern Mode Café,請去過的人評分,,3.5 ★,,,,,中山,,,,,,103台北市大同區迪化街一段278號,https://www.facebook.com/modernmode11/
Nichi Nichi 日子咖啡,4.0 ★,3.5 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,中山,,,No,阿川,,10352台北市大同區赤峰街17巷8號,https://www.facebook.com/cafenichinichi/
Aussie 澳式咖啡,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,5.0 ★,4.0 ★,中山國小,,Yes,Yes,,,104台北市中山區中山北路二段115巷33號,https://www.facebook.com/aussiecafe.tw
創咖啡 TRUST CAFÉ,4.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,5.0 ★,中山國中,,,No,阿川,,104台北市中山區民權東路三段60巷7號7號,https://www.facebook.com/trustcafe/
Milkglider Latteartist Unity,請去過的人評分,,4.0 ★,,,,,中山國中,,,,,,105台北市松山區民權東路三段160巷19弄36號,https://www.facebook.com/Milkglider/
虎記商行,請去過的人評分,,0.0 ★,,,,,中正紀念堂,,,,,,11093台北市中正區寧波東街1-1號,https://www.facebook.com/tigerdrinks/
敲敲咖啡 KNOCK KAFE,請去過的人評分,,,,,,,忠孝敦化,,,,,,106台北市大安區延吉街126巷10號,https://www.facebook.com/knockkafetaipei/
COSTUMICE CAFÉ,4.0 ★,4.0 ★,,3.0 ★,3.0 ★,3.5 ★,Yes,忠孝敦化,,Yes,No,aphasia,飲品單價幾乎200+，晚上會有很多蝦趴夜店咖出沒，比較適合聊天聚會,106台北市大安區忠孝東路四段223巷71弄6號,https://www.facebook.com/costumice.cafe/
新文明咖啡館,4.0 ★,4.0 ★,3.0 ★,4.0 ★,4.0 ★,3.0 ★,3.0 ★,忠孝復興,,Yes,No,Cos,落地窗光線蠻不錯的，珍珠奶茶很好喝，餐點價位在兩百上下,106台北市大安區大安路一段19巷13號,https://www.facebook.com/ncstoretw/?fref=ts
FIX coffee & some more,請去過的人評分,,3.5 ★,,,,,忠孝復興,,,,,,105台北市松山區八德路三段8巷21號,https://www.facebook.com/coffeefixyou/
homey's cafe,3.5 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,忠孝復興,,Yes,No,aphasia,音樂品味不錯，推薦給喜歡brit pop的人，但網路時而不穩,106台北市大安區敦化南路一段236巷36號,https://www.facebook.com/homeyscafe/
Homie Cafe,請去過的人評分,,,,,,,忠孝復興,,,,,,106台北市大安區仁愛路四段345巷2弄11號,https://www.facebook.com/homiecafe/
卡那達咖啡店,3.5 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,忠孝新生,,Yes,No,阿川,店內會放老闆挑的韓國獨立音樂，很讚,"臨沂街13巷5號1樓, Zhongzheng District, Taipei City, 100",https://www.facebook.com/cafeganada/
離線咖啡 Offline Cafe,沒有WIFI,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,3.5 ★,忠孝新生,,,No,Summer,假日人可能較多，去之前最好先看看有無包場活動,,
特有種商行,4.0 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,5.0 ★,忠孝新生,No,,Yes,阿川,,100台北市中正區臨沂街27巷4-1號,https://www.facebook.com/realguts
Beccafico,請去過的人評分,,,,,,,忠孝新生,,,,,,100台北市中正區杭州南路一段11巷4號,https://www.facebook.com/beccafico2015/
FabCafe,4.0 ★,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,3.5 ★,忠孝新生,,Yes,Yes,阿川,店內有3D印表機供租用，很酷,100台北市中山區八德路一段1號,https://www.facebook.com/FabcafeTaipei/
PAPER ST.,4.0 ★,3.5 ★,3.5 ★,4.0 ★,4.0 ★,4.0 ★,4.0 ★,忠孝新生,,,No,Summer,假日人多,,https://www.facebook.com/paperxstreet/?fref=ts
WUTZ,請去過的人評分,,,,,,,忠孝新生,,,,,,104台北市中山區八德路二段176號,https://www.facebook.com/wutz.tw/
老木咖啡,4.0 ★,4.0 ★,,4.0 ★,3.5 ★,5.0 ★,,,,,,Summer,"貓咪很可愛會飛來飛去XD""",106台北市大安區和平東路三段119巷11號,https://www.facebook.com/cafepachamama/?fref=ts
Remember Me_記得我．Café,,3.5 ★,,,,,,,,,,Summer,"會有歌唱表演，建議去前先上網看看，每次去都沒位置所以遲遲未進去XD""",台北市南京東路四段133巷4弄16號,https://www.facebook.com/remembermecafe/?fref=ts